what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws.jaxb.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxb.core",1409318299032
stopped,bundle,org.eclipse.jst.ws.annotations.core,1.1.0.v201104031139,"org.eclipse.jst.ws.annotations.core",1409318299032
stopped,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1409318299033
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1409318299033
stopped,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1409318299033
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.103.v201102260635,"org.eclipse.wst.command.env.ui",1409318299033
stopped,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1409318299033
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1409365871384
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1409365871386
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1409365871386
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1409365871387
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1409365871387
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1409365871387
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1409365871387
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1409365871387
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1409365871387
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1409365871388
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1409365871388
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1409365871388
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1409365871388
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1409365871388
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1409365871388
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1409365871388
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1409365871389
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1409365871389
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1409365871389
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1409365871389
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1409365871390
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1409365871390
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1409365871390
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1409365871391
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1409365871391
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1409365871391
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1409365871391
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1409365871391
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1409365871391
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1409365871392
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1409365871392
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1409365871392
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1409365871393
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1409365871393
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1409365871393
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1409365871395
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1409365871396
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1409365871397
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1409365871398
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1409365871398
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1409365871398
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1409365871398
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1409365871398
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1409365871398
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1409365871408
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1409365871459
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1409365871459
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1409365871482
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1409365871482
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1409365871482
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1409365871485
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1409365871485
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1409365871485
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1409365871485
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1409365871485
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1409365871485
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1409365871486
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1409365871486
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1409365871486
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.bugzilla.core",1409365871486
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.bugzilla.ui",1409365871486
started,bundle,org.eclipse.mylyn.commons.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.core",1409365871486
started,bundle,org.eclipse.mylyn.commons.net,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.net",1409365871486
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.core",1409365871486
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.feed",1409365871486
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.ui",1409365871486
started,bundle,org.eclipse.mylyn.commons.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.ui",1409365871487
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.workbench",1409365871487
started,bundle,org.eclipse.mylyn.context.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.core",1409365871487
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.tasks.ui",1409365871487
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1409365871487
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.index.core",1409365871487
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1409365871487
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1409365871487
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1409365871487
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1409365871487
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1409365871487
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1409365871488
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1409365871488
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1409365871488
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1409365871488
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1409365871488
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1409365871488
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1409365871488
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1409365871488
os,sysinfo,,,"win32",1409365871493
arch,sysinfo,,,"x86",1409365871493
ws,sysinfo,,,"win32",1409365871493
locale,sysinfo,,,"en_US",1409365871493
processors,sysinfo,,,"4",1409365871493
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409365871493
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1409365871493
java.specification.name,sysinfo,,,"Java Platform API Specification",1409365871493
java.specification.vendor,sysinfo,,,"Oracle Corporation",1409365871493
java.specification.version,sysinfo,,,"1.7",1409365871493
java.vendor,sysinfo,,,"Oracle Corporation",1409365871493
java.version,sysinfo,,,"1.7.0_55",1409365871493
java.vm.info,sysinfo,,,"mixed mode, sharing",1409365871493
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1409365871493
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409365871493
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1409365871493
java.vm.specification.version,sysinfo,,,"1.7",1409365871493
java.vm.vendor,sysinfo,,,"Oracle Corporation",1409365871493
java.vm.version,sysinfo,,,"24.55-b03",1409365871493
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1409365872018
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1409365872018
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1409365872137
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1409365872169
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1409365872256
error,log,,,"Unable to create editor ID org.eclipse.birt.report.designer.ui.editors.ReportEditor: No editor descriptor for id org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366034898
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366034906
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366034908
activated,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366034990
closed,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366034993
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1409366035007
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1409366038669
opened,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1409366039128
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1409366039207
activated,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366042075
error,log,,,"Unable to create editor ID org.eclipse.birt.report.designer.ui.editors.ReportEditor: No editor descriptor for id org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366042084
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366042116
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366042118
activated,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366042128
closed,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366042128
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1409366042791
activated,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366048317
closed,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1409366048333
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409366050269
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409366050502
activated,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366054061
error,log,,,"Unable to create editor ID org.eclipse.birt.report.designer.ui.editors.ReportEditor: No editor descriptor for id org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366054071
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366054081
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366054083
activated,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366054090
closed,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366054090
error,log,,,"Unable to create editor ID org.eclipse.birt.report.designer.ui.editors.ReportEditor: No editor descriptor for id org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366055285
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366055291
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366055293
activated,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366055301
closed,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366055301
error,log,,,"Unable to create editor ID org.eclipse.birt.report.designer.ui.editors.ReportEditor: No editor descriptor for id org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366056570
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366056577
opened,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366056579
activated,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366056587
closed,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366056587
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409366059403
closed,editor,,,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409366059403
