what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304915762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304915863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304929662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304930728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304930860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304933136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304935281
opened,editor,org.eclipse.birt.report.designer.ui.ide,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409304936229
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1409304936850
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.edit.text.openLocalFile",1409304936854
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1409304948062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304974600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304974655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304977964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304978186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.customizePerspective",1409304978261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304995864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409304998093
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1409304998138
started,bundle,org.eclipse.birt.report.engine.emitter.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.config",1409305016722
started,bundle,org.eclipse.birt.report.engine.emitter.wpml.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.wpml.config",1409305016723
started,bundle,org.eclipse.birt.report.engine.emitter.html.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.html.config",1409305016749
started,bundle,org.eclipse.birt.report.engine.emitter.odp.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.odp.config",1409305016754
started,bundle,org.eclipse.birt.report.engine.emitter.ods.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.ods.config",1409305016759
started,bundle,org.eclipse.birt.report.engine.emitter.odt.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.odt.config",1409305016764
started,bundle,org.eclipse.birt.report.engine.emitter.pdf.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.pdf.config",1409305016767
started,bundle,org.eclipse.birt.report.engine.emitter.postscript.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.postscript.config",1409305016881
started,bundle,org.eclipse.birt.report.engine.emitter.ppt.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.ppt.config",1409305016885
started,bundle,org.eclipse.birt.report.engine.emitter.excel.config,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.excel.config",1409305016926
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1409305020362
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1409305020531
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1409305021101
started,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1409305021154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305024716
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1409305034582
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1409305034586
started,bundle,org.eclipse.birt.report.engine.script.javascript,3.7.1.v20110905,"org.eclipse.birt.report.engine.script.javascript",1409305106311
started,bundle,org.eclipse.birt.core.script.function,3.7.1.v20110905,"org.eclipse.birt.core.script.function",1409305106702
started,bundle,org.eclipse.datatools.connectivity.oda.consumer,3.2.4.v201105200848,"org.eclipse.datatools.connectivity.oda.consumer",1409305154804
started,bundle,org.eclipse.birt.report.data.oda.jdbc,3.7.1.v20110905,"org.eclipse.birt.report.data.oda.jdbc",1409305154874
started,bundle,org.eclipse.datatools.connectivity.oda.profile,3.2.6.v201108060848,"org.eclipse.datatools.connectivity.oda.profile",1409305154947
started,bundle,org.eclipse.birt.report.data.bidi.utils,3.7.1.v20110905,"org.eclipse.birt.report.data.bidi.utils",1409305154995
started,bundle,org.eclipse.datatools.connectivity,1.2.3.v201108101135,"org.eclipse.datatools.connectivity",1409305155084
started,bundle,org.eclipse.birt.report.engine.emitter.html,3.7.1.v20110905,"org.eclipse.birt.report.engine.emitter.html",1409305159770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305189990
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305197243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305220505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305257199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305301292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305311373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305350780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305353955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305360095
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305367102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409305368498
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1409305368987
closed,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1409305368995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.resetPerspective",1409305369865
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1409305375133
