what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1409369714921
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1409369714921
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1409369714921
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1409369714921
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1409369714921
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1409369714921
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1409369714921
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1409369714921
os,sysinfo,,,"win32",1409369714928
arch,sysinfo,,,"x86",1409369714928
ws,sysinfo,,,"win32",1409369714928
locale,sysinfo,,,"en_US",1409369714928
processors,sysinfo,,,"4",1409369714928
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409369714928
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1409369714928
java.specification.name,sysinfo,,,"Java Platform API Specification",1409369714928
java.specification.vendor,sysinfo,,,"Oracle Corporation",1409369714928
java.specification.version,sysinfo,,,"1.7",1409369714928
java.vendor,sysinfo,,,"Oracle Corporation",1409369714928
java.version,sysinfo,,,"1.7.0_55",1409369714928
java.vm.info,sysinfo,,,"mixed mode, sharing",1409369714928
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1409369714928
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409369714928
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1409369714928
java.vm.specification.version,sysinfo,,,"1.7",1409369714928
java.vm.vendor,sysinfo,,,"Oracle Corporation",1409369714928
java.vm.version,sysinfo,,,"24.55-b03",1409369714928
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1409369715276
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1409369715277
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1409369715326
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1409369715381
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1409369715462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409370088802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409370091119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409370097558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409370190967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409370192243
